"Sequence Name","coded_by"
"XP_020917815","XM_021062156.1:357..1442"
"XP_020917814","XM_021062155.1:143..508"
"XP_020917816","XM_021062157.1:284..1444"
"XP_020917813","XM_021062154.1:1..1296"
"XP_020917812","XM_021062153.1:1..1428"
"XP_020917811","XM_021062152.1:1..423"
"XP_020917810","XM_021062151.1:1..1398"
"XP_020917809","XM_021062150.1:11..1807"
"XP_020917808","XM_021062149.1:198..1910"
"XP_020917806","XM_021062147.1:169..711"
"XP_020917807","XM_021062148.1:165..707"
"XP_020917804","XM_021062145.1:1..825"
"XP_020917803","XM_021062144.1:85..1572"
"XP_020917802","XM_021062143.1:129..1022"
"XP_020917801","XM_021062142.1:129..677"
"XP_020917800","XM_021062141.1:706..1218"
"XP_020917798","XM_021062139.1:72..590"
"XP_020917797","XM_021062138.1:91..837"
"XP_020917796","XM_021062137.1:24..785"
"XP_020917795","XM_021062136.1:766..3651"
"XP_020917794","XM_021062135.1:153..653"
"XP_020917793","XM_021062134.1:1..>858"
"XP_020917791","XM_021062132.1:4..852"
"XP_020917790","XM_021062131.1:53..1816"
"XP_020917799","XM_021062140.1:174..2861"
"XP_020917805","XM_021062146.1:174..2804"
"XP_020917792","XM_021062133.1:174..2867"
"XP_020917789","XM_021062130.1:86..1327"
"XP_020917788","XM_021062129.1:37..1302"
"XP_020917787","XM_021062128.1:1..696"
"XP_020917786","XM_021062127.1:125..1414"
"XP_020917785","XM_021062126.1:69..1250"
"XP_020917784","XM_021062125.1:1..2253"
"XP_020917782","XM_021062123.1:153..1241"
"XP_020917781","XM_021062122.1:54..1616"
"XP_020917783","XM_021062124.1:62..316"
"XP_020917780","XM_021062121.1:190..522"
"XP_020917779","XM_021062120.1:221..1390"
"XP_020917778","XM_021062119.1:<1..592"
"XP_020917777","XM_021062118.1:18..>1162"
"XP_020917776","XM_021062117.1:1..579"
"XP_020917774","XM_021062115.1:1..639"
"XP_020917773","XM_021062114.1:46..1056"
"XP_020917772","XM_021062113.1:46..1209"
"XP_020917775","XM_021062116.1:410..1402"
"XP_020917771","XM_021062112.1:1..597"
"XP_020917770","XM_021062111.1:1..1053"
"XP_020917769","XM_021062110.1:1..1041"
"XP_020917768","XM_021062109.1:184..1041"
"XP_020917767","XM_021062108.1:85..1146"
"XP_020917766","XM_021062107.1:189..1517"
"XP_020917765","XM_021062106.1:112..948"
"XP_020917763","XM_021062104.1:104..1645"
"XP_020917762","XM_021062103.1:211..1458"
"XP_020917761","XM_021062102.1:202..1506"
"XP_020917764","XM_021062105.1:262..1236"
"XP_020917760","XM_021062101.1:180..1145"
"XP_020917759","XM_021062100.1:1..1173"
"XP_020917758","XM_021062099.1:1..1689"
"XP_020917757","XM_021062098.1:1..3843"
"XP_020917756","XM_021062097.1:1..2160"
"XP_020917755","XM_021062096.1:1..516"
"XP_020917754","XM_021062095.1:1..975"
"XP_020917752","XM_021062093.1:1..987"
"XP_020917751","XM_021062092.1:1..891"
"XP_020917750","XM_021062091.1:1..534"
"XP_020917753","XM_021062094.1:13..726"
"XP_020917749","XM_021062090.1:1..891"
"XP_020917748","XM_021062089.1:811..2304"
"XP_020917747","XM_021062088.1:1..1395"
"XP_020917746","XM_021062087.1:1..516"
"XP_020917745","XM_021062086.1:1..3645"
"XP_020917744","XM_021062085.1:87..1295"
"XP_020917743","XM_021062084.1:290..922"
"XP_020917741","XM_021062082.1:157..765"
"XP_020917740","XM_021062081.1:20..985"
"XP_020917738","XM_021062079.1:73..1335"
"XP_020917739","XM_021062080.1:73..1104"
"XP_020917737","XM_021062078.1:131..4660"
"XP_020917732","XM_021062073.1:6..1283"
"XP_020917734","XM_021062075.1:6..1280"
"XP_020917735","XM_021062076.1:6..1241"
"XP_020917736","XM_021062077.1:6..1238"
"XP_020917731","XM_021062072.1:154..606"
"XP_020917730","XM_021062071.1:57..1439"
"XP_020917733","XM_021062074.1:267..1322"
"XP_020917742","XM_021062083.1:334..1326"
"XP_020917729","XM_021062070.1:60..1154"
"XP_020917727","XM_021062068.1:71..1498"
"XP_020917728","XM_021062069.1:71..1495"
"XP_020917726","XM_021062067.1:110..2620"
"XP_020917725","XM_021062066.1:181..876"
"XP_020917724","XM_021062065.1:160..1317"
"XP_020917723","XM_021062064.1:83..>1045"
"XP_020917721","XM_021062062.1:58..2223"
"XP_020917720","XM_021062061.1:803..1678"
"XP_020917718","XM_021062059.1:78..1361"
"XP_020917719","XM_021062060.1:154..1401"
"XP_020917722","XM_021062063.1:15..2513"
"XP_020917717","XM_021062058.1:36..329"
"XP_020917716","XM_021062057.1:39..824"
"XP_020917715","XM_021062056.1:66..1877"
"XP_020917714","XM_021062055.1:498..1469"
"XP_020917713","XM_021062054.1:692..1804"
"XP_020917712","XM_021062053.1:29..1201"
"XP_020917710","XM_021062051.1:15..1496"
"XP_020917709","XM_021062050.1:15..1505"
"XP_020917708","XM_021062049.1:119..6019"
"XP_020917707","XM_021062048.1:73..696"
"XP_020917706","XM_021062047.1:1..1089"
"XP_020917705","XM_021062046.1:337..>988"
"XP_020917704","XM_021062045.1:102..1127"
"XP_020917701","XM_021062042.1:83..>1307"
"XP_020917700","XM_021062041.1:<1..615"
"XP_020917699","XM_021062040.1:89..1150"
"XP_020917698","XM_021062039.1:332..919"
"XP_020917697","XM_021062038.1:299..3718"
"XP_020917696","XM_021062037.1:239..>1009"
"XP_020917694","XM_021062035.1:290..1768"
"XP_020917695","XM_021062036.1:2076..3212"
"XP_020917703","XM_021062044.1:207..1343"
"XP_020917711","XM_021062052.1:165..1301"
"XP_020917691","XM_021062032.1:396..1718"
"XP_020917692","XM_021062033.1:375..1697"
"XP_020917693","XM_021062034.1:302..1624"
"XP_020917690","XM_021062031.1:223..>2901"
"XP_020917689","XM_021062030.1:1..1734"
"XP_020917688","XM_021062029.1:117..>755"
"XP_020917687","XM_021062028.1:86..4297"
"XP_020917686","XM_021062027.1:98..2371"
"XP_020917684","XM_021062025.1:499..1368"
"XP_020917683","XM_021062024.1:268..1518"
"XP_020917682","XM_021062023.1:1..909"
"XP_020917685","XM_021062026.1:648..1376"
"XP_020917681","XM_021062022.1:1..834"
"XP_020917680","XM_021062021.1:1..318"
"XP_020917679","XM_021062020.1:1..2697"
"XP_020917678","XM_021062019.1:90..1223"
"XP_020917677","XM_021062018.1:226..>1440"
"XP_020917676","XM_021062017.1:1..1950"
"XP_020917675","XM_021062016.1:301..1803"
"XP_020917673","XM_021062014.1:81..422"
"XP_020917672","XM_021062013.1:8..286"
"XP_020917671","XM_021062012.1:8..370"
"XP_020917674","XM_021062015.1:137..976"
"XP_020917670","XM_021062011.1:241..>1328"
"XP_020917669","XM_021062010.1:74..595"
"XP_020917668","XM_021062009.1:52..1116"
"XP_020917702","XM_021062043.1:95..1330"
"XP_020917667","XM_021062008.1:1..684"
"XP_020917666","XM_021062007.1:6..383"
"XP_020917665","XM_021062006.1:1..411"
"XP_020917664","XM_021062005.1:30..566"
"XP_020917663","XM_021062004.1:146..523"
"XP_020917662","XM_021062003.1:211..1500"
"XP_020917661","XM_021062002.1:79..915"
"XP_020917660","XM_021062001.1:198..1034"
"XP_020917659","XM_021062000.1:260..2104"
"XP_020917658","XM_021061999.1:96..632"
"XP_020917656","XM_021061997.1:<1..819"
"XP_020917655","XM_021061996.1:59..1075"
"XP_020917654","XM_021061995.1:84..1145"
"XP_020917657","XM_021061998.1:344..4714"
"XP_020917652","XM_021061993.1:272..1129"
"XP_020917653","XM_021061994.1:557..1414"
"XP_020917651","XM_021061992.1:120..911"
"XP_020917650","XM_021061991.1:34..1953"
"XP_020917649","XM_021061990.1:174..2591"
"XP_020917648","XM_021061989.1:2..1177"
"XP_020917647","XM_021061988.1:242..574"
"XP_020917645","XM_021061986.1:8..1360"
"XP_020917644","XM_021061985.1:226..2922"
"XP_020917643","XM_021061984.1:<1..705"
"XP_020917646","XM_021061987.1:166..2133"
"XP_020917642","XM_021061983.1:31..1449"
"XP_020917641","XM_021061982.1:31..1449"
"XP_020917640","XM_021061981.1:190..>1720"
"XP_020917639","XM_021061980.1:2..334"
"XP_020917638","XM_021061979.1:83..2383"
"XP_020917637","XM_021061978.1:<1..801"
"XP_020917635","XM_021061976.1:<1..1422"
"XP_020917634","XM_021061975.1:112..927"
"XP_020917633","XM_021061974.1:39..704"
"XP_020917636","XM_021061977.1:25..741"
"XP_020917632","XM_021061973.1:1..1341"
"XP_020917631","XM_021061972.1:197..>1168"
"XP_020917630","XM_021061971.1:71..>1465"
"XP_020917629","XM_021061970.1:13..771"
"XP_020917628","XM_021061969.1:<1..9747"
"XP_020917621","XM_021061962.1:138..5867"
"XP_020917627","XM_021061968.1:138..4622"
"XP_020917623","XM_021061964.1:138..5819"
"XP_020917622","XM_021061963.1:138..5825"
"XP_020917625","XM_021061966.1:138..5777"
"XP_020917626","XM_021061967.1:289..5256"
"XP_020917620","XM_021061961.1:6..557"
"XP_020917624","XM_021061965.1:43..3129"
"XP_020917619","XM_021061960.1:135..1172"
"XP_020917618","XM_021061959.1:90..2120"
"XP_020917617","XM_021061958.1:110..4888"
"XP_020917616","XM_021061957.1:1..1407"
"XP_020917615","XM_021061956.1:129..3038"
"XP_020917614","XM_021061955.1:169..1401"
"XP_020917612","XM_021061953.1:97..852"
"XP_020917611","XM_021061952.1:17..790"
"XP_020917613","XM_021061954.1:945..1955"
"XP_020917610","XM_021061951.1:161..991"
"XP_020917609","XM_021061950.1:161..991"
"XP_020917608","XM_021061949.1:161..991"
"XP_020917607","XM_021061948.1:174..959"
"XP_020917606","XM_021061947.1:64..834"
"XP_020917605","XM_021061946.1:99..1106"
"XP_020917604","XM_021061945.1:94..1137"
"XP_020917603","XM_021061944.1:232..1173"
"XP_020917602","XM_021061943.1:60..509"
"XP_020917600","XM_021061941.1:26..1873"
"XP_020917599","XM_021061940.1:146..919"
"XP_020917601","XM_021061942.1:131..1699"
"XP_020917598","XM_021061939.1:116..961"
"XP_020917597","XM_021061938.1:196..>3459"
"XP_020917596","XM_021061937.1:1..447"
"XP_020917594","XM_021061935.1:87..4226"
"XP_020917593","XM_021061934.1:1..837"
"XP_020917592","XM_021061933.1:1..771"
"XP_020917591","XM_021061932.1:1..1050"
"XP_020917589","XM_021061930.1:1..2025"
"XP_020917588","XM_021061929.1:1..9411"
"XP_020917587","XM_021061928.1:37..3180"
"XP_020917586","XM_021061927.1:148..1266"
"XP_020917585","XM_021061926.1:39..662"
"XP_020917584","XM_021061925.1:58..1308"
"XP_020917582","XM_021061923.1:111..1757"
"XP_020917581","XM_021061922.1:1..321"
"XP_020917580","XM_021061921.1:201..6848"
"XP_020917583","XM_021061924.1:502..2589"
"XP_020917590","XM_021061931.1:323..2410"
"XP_020917579","XM_021061920.1:1..1680"
"XP_020917578","XM_021061919.1:152..1009"
"XP_020917577","XM_021061918.1:1..1767"
"XP_020917576","XM_021061917.1:1..1296"
"XP_020917575","XM_021061916.1:1..969"
"XP_020917574","XM_021061915.1:1..882"
"XP_020917573","XM_021061914.1:58..1218"
"XP_020917571","XM_021061912.1:99..524"
"XP_020917570","XM_021061911.1:19..3606"
"XP_020917569","XM_021061910.1:71..1240"
"XP_020917572","XM_021061913.1:164..2101"
"XP_020917568","XM_021061909.1:101..553"
"XP_020917567","XM_021061908.1:111..596"
"XP_020917566","XM_021061907.1:241..1458"
"XP_020917565","XM_021061906.1:29..>3427"
"XP_020917564","XM_021061905.1:197..1300"
"XP_020917563","XM_021061904.1:1..1236"
"XP_020917562","XM_021061903.1:11..871"
"XP_020917560","XM_021061901.1:65..1441"
"XP_020917559","XM_021061900.1:74..1462"
"XP_020917558","XM_021061899.1:629..3346"
"XP_020917561","XM_021061902.1:1..>996"
"XP_020917557","XM_021061898.1:37..1455"
"XP_020917555","XM_021061896.1:198..2939"
"XP_020917556","XM_021061897.1:205..2946"
"XP_020917554","XM_021061895.1:1..975"
"XP_020917553","XM_021061894.1:81..1133"
"XP_020917552","XM_021061893.1:<1..796"
"XP_020917551","XM_021061892.1:1..>473"
"XP_020917549","XM_021061890.1:22..333"
"XP_020917548","XM_021061889.1:6..416"
"XP_020917547","XM_021061888.1:235..882"
"XP_020917550","XM_021061891.1:1..2265"
"XP_020917546","XM_021061887.1:59..1891"
"XP_020917544","XM_021061885.1:86..1978"
"XP_020917545","XM_021061886.1:86..1975"
"XP_020917542","XM_021061883.1:116..2140"
"XP_020917543","XM_021061884.1:116..1858"
"XP_020917541","XM_021061882.1:74..2269"
"XP_020917540","XM_021061881.1:318..4226"
"XP_020917539","XM_021061880.1:87..4451"
"XP_020917537","XM_021061878.1:65..511"
"XP_020917536","XM_021061877.1:22..579"
"XP_020917535","XM_021061876.1:7..1032"
"XP_020917538","XM_021061879.1:1..873"
"XP_020917534","XM_021061875.1:50..1747"
"XP_020917533","XM_021061874.1:329..10276"
"XP_020917532","XM_021061873.1:1..1056"
"XP_020917531","XM_021061872.1:9..602"
"XP_020917530","XM_021061871.1:13..969"
"XP_020917529","XM_021061870.1:1..3894"
"XP_020917528","XM_021061869.1:1..408"
"XP_020917526","XM_021061867.1:156..1298"
"XP_020917525","XM_021061866.1:1..2298"
"XP_020917524","XM_021061865.1:293..2821"
"XP_020917527","XM_021061868.1:1..1320"
"XP_020917523","XM_021061864.1:92..2158"
"XP_020917522","XM_021061863.1:625..2055"
"XP_020917521","XM_021061862.1:436..6390"
"XP_020917518","XM_021061859.1:1988..11314"
"XP_020917517","XM_021061858.1:35..487"
"XP_020917516","XM_021061857.1:1..1098"
"XP_020917515","XM_021061856.1:1..492"
"XP_020917513","XM_021061854.1:1..492"
"XP_020917512","XM_021061853.1:1..633"
"XP_020917511","XM_021061852.1:<1..738"
"XP_020917514","XM_021061855.1:1..1425"
"XP_020917510","XM_021061851.1:118..1824"
"XP_020917509","XM_021061850.1:274..1182"
"XP_020917508","XM_021061849.1:75..968"
"XP_020917507","XM_021061848.1:331..858"
"XP_020917506","XM_021061847.1:259..912"
"XP_020917505","XM_021061846.1:491..2356"
"XP_020917504","XM_021061845.1:88..1050"
"XP_020917502","XM_021061843.1:227..1060"
"XP_020917501","XM_021061842.1:52..1167"
"XP_020917503","XM_021061844.1:1..516"
"XP_020917500","XM_021061841.1:112..1362"
"XP_020917499","XM_021061840.1:105..452"
"XP_020917498","XM_021061839.1:37..1794"
"XP_020917497","XM_021061838.1:63..566"
"XP_020917496","XM_021061837.1:464..1072"
"XP_020917494","XM_021061835.1:24..1529"
"XP_020917495","XM_021061836.1:24..1526"
"XP_020917493","XM_021061834.1:457..1470"
"XP_020917491","XM_021061832.1:22..450"
"XP_020917490","XM_021061831.1:103..741"
"XP_020917489","XM_021061830.1:121..1971"
"XP_020917492","XM_021061833.1:100..783"
"XP_020917488","XM_021061829.1:46..2646"
"XP_020917487","XM_021061828.1:140..3175"
"XP_020917486","XM_021061827.1:59..847"
"XP_020917485","XM_021061826.1:179..1669"
"XP_020917484","XM_021061825.1:46..417"
"XP_020917483","XM_021061824.1:83..3952"
"XP_020917481","XM_021061822.1:97..2130"
"XP_020917479","XM_021061820.1:98..2155"
"XP_020917480","XM_021061821.1:152..2188"
"XP_020917478","XM_021061819.1:152..2212"
"XP_020917482","XM_021061823.1:100..3708"
"XP_020917475","XM_021061816.1:871..1980"
"XP_020917476","XM_021061817.1:131..1231"
"XP_020917477","XM_021061818.1:1366..2466"
"XP_020917474","XM_021061815.1:163..636"
"XP_020917473","XM_021061814.1:146..772"
"XP_020917472","XM_021061813.1:214..2571"
"XP_020917470","XM_021061811.1:83..700"
"XP_020917469","XM_021061810.1:182..781"
"XP_020917468","XM_021061809.1:118..1509"
"XP_020917471","XM_021061812.1:182..862"
"XP_020917467","XM_021061808.1:89..2377"
"XP_020917466","XM_021061807.1:112..840"
"XP_020917465","XM_021061806.1:75..863"
"XP_020917464","XM_021061805.1:166..1107"
"XP_020917462","XM_021061803.1:9..3959"
"XP_020917463","XM_021061804.1:277..3786"
"XP_020917460","XM_021061801.1:241..6399"
"XP_020917461","XM_021061802.1:241..6366"
"XP_020917458","XM_021061799.1:241..6426"
"XP_020917457","XM_021061798.1:241..6429"
"XP_020917456","XM_021061797.1:224..799"
"XP_020917455","XM_021061796.1:52..375"
"XP_020917459","XM_021061800.1:272..3079"
"XP_020917454","XM_021061795.1:1..2826"
"XP_020917453","XM_021061794.1:10..804"
"XP_020917452","XM_021061793.1:38..625"
"XP_020917451","XM_021061792.1:86..1789"
"XP_020917450","XM_021061791.1:65..2479"
"XP_020917449","XM_021061790.1:83..1222"
"XP_020917448","XM_021061789.1:179..685"
"XP_020917446","XM_021061787.1:417..1448"
"XP_020917445","XM_021061786.1:98..523"
"XP_020917447","XM_021061788.1:169..4323"
"XP_020917443","XM_021061784.1:1..609"
"XP_020917442","XM_021061783.1:64..765"
"XP_020917441","XM_021061782.1:38..874"
"XP_020917440","XM_021061781.1:316..1527"
"XP_020917439","XM_021061780.1:39..1934"
"XP_020917438","XM_021061779.1:39..2012"
"XP_020917437","XM_021061778.1:233..2422"
"XP_020917435","XM_021061776.1:157..3117"
"XP_020917434","XM_021061775.1:1..555"
"XP_020917433","XM_021061774.1:22..594"
"XP_020917436","XM_021061777.1:1..654"
"XP_020917432","XM_021061773.1:46..843"
"XP_020917430","XM_021061771.1:82..627"
"XP_020917431","XM_021061772.1:71..610"
"XP_020917429","XM_021061770.1:213..773"
"XP_020917428","XM_021061769.1:66..680"
"XP_020917427","XM_021061768.1:27..650"
"XP_020917426","XM_021061767.1:98..2047"
"XP_020917424","XM_021061765.1:48..1685"
"XP_020917423","XM_021061764.1:90..644"
"XP_020917422","XM_021061763.1:109..993"
"XP_020917425","XM_021061766.1:100..1524"
"XP_020917420","XM_021061761.1:95..1591"
"XP_020917421","XM_021061762.1:81..1289"
"XP_020917419","XM_021061760.1:17..397"
"XP_020917418","XM_021061759.1:176..1168"
"XP_020917417","XM_021061758.1:230..1537"
"XP_020917415","XM_021061756.1:57..3044"
"XP_020917416","XM_021061757.1:242..2839"
"XP_020917413","XM_021061754.1:546..1820"
"XP_020917411","XM_021061752.1:174..1427"
"XP_020917412","XM_021061753.1:174..1241"
"XP_020917410","XM_021061751.1:647..1597"
"XP_020917414","XM_021061755.1:415..1809"
"XP_020917409","XM_021061750.1:162..1052"
"XP_020917408","XM_021061749.1:11..1078"
"XP_020917407","XM_021061748.1:176..985"
"XP_020917595","XM_021061936.1:85..744"
"XP_020917444","XM_021061785.1:85..747"
"XP_020917520","XM_021061861.1:246..908"
"XP_020917406","XM_021061747.1:339..1385"
"XP_020917405","XM_021061746.1:120..917"
"XP_020917402","XM_021061743.1:133..936"
"XP_020917404","XM_021061745.1:133..579"
"XP_020917401","XM_021061742.1:116..1036"
"XP_020917400","XM_021061741.1:10..573"
"XP_020917403","XM_021061744.1:114..425"
"XP_020917399","XM_021061740.1:58..2568"
"XP_020917398","XM_021061739.1:58..2679"
"XP_020917397","XM_021061738.1:65..517"
"XP_020917396","XM_021061737.1:27..527"
"XP_020917392","XM_021061733.1:314..1231"
"XP_020917393","XM_021061734.1:239..1156"
"XP_020917394","XM_021061735.1:305..1222"
"XP_020917395","XM_021061736.1:33..950"
"XP_020917391","XM_021061732.1:74..2656"
"XP_020917389","XM_021061730.1:175..2910"
"XP_020917388","XM_021061729.1:102..2393"
"XP_020917387","XM_021061728.1:54..2555"
"XP_020917390","XM_021061731.1:1..1005"
"XP_020917386","XM_021061727.1:7..1668"
"XP_020917385","XM_021061726.1:80..1333"
"XP_020917384","XM_021061725.1:78..3059"
"XP_020917383","XM_021061724.1:711..6524"
"XP_020917382","XM_021061723.1:91..2553"
"XP_020917381","XM_021061722.1:71..1162"
"XP_020917380","XM_021061721.1:70..1611"
"XP_020917378","XM_021061719.1:503..2041"
"XP_020917377","XM_021061718.1:50..703"
"XP_020917379","XM_021061720.1:1..3306"
"XP_020917374","XM_021061715.1:234..1469"
"XP_020917375","XM_021061716.1:52..1236"
"XP_020917376","XM_021061717.1:45..1190"
"XP_020917373","XM_021061714.1:891..2399"
"XP_020917372","XM_021061713.1:18..1928"
"XP_020917371","XM_021061712.1:115..2091"
"XP_020917369","XM_021061710.1:125..4588"
"XP_020917370","XM_021061711.1:194..4657"
"XP_020917365","XM_021061706.1:272..6334"
"XP_020917368","XM_021061709.1:273..6269"
"XP_020917366","XM_021061707.1:272..6274"
"XP_020917364","XM_021061705.1:236..898"
"XP_020917367","XM_021061708.1:1..1269"
"XP_020917363","XM_021061704.1:113..1705"
"XP_020917362","XM_021061703.1:68..763"
"XP_020917361","XM_021061702.1:397..2460"
"XP_020917360","XM_021061701.1:105..893"
"XP_020917359","XM_021061700.1:124..1209"
"XP_020917358","XM_021061699.1:165..3161"
"XP_020917357","XM_021061698.1:135..1130"
"XP_020917353","XM_021061694.1:275..1840"
"XP_020917354","XM_021061695.1:283..1848"
"XP_020917355","XM_021061696.1:173..1738"
"XP_020917352","XM_021061693.1:251..1288"
"XP_020917356","XM_021061697.1:1..1002"
"XP_020917351","XM_021061692.1:73..1170"
"XP_020917350","XM_021061691.1:2..1486"
"XP_020917349","XM_021061690.1:7..1632"
"XP_020917348","XM_021061689.1:44..397"
"XP_020917347","XM_021061688.1:249..620"
"XP_020917346","XM_021061687.1:70..3336"
"XP_020917345","XM_021061686.1:231..1250"
"XP_020917344","XM_021061685.1:2..1048"
"XP_020917339","XM_021061680.1:245..1456"
"XP_020917340","XM_021061681.1:97..1227"
"XP_020917341","XM_021061682.1:111..1241"
"XP_020917342","XM_021061683.1:53..1183"
"XP_020917343","XM_021061684.1:38..1168"
"XP_020917338","XM_021061679.1:170..1777"
"XP_020917337","XM_021061678.1:170..1888"
"XP_020917336","XM_021061677.1:25..516"
"XP_020917335","XM_021061676.1:76..729"
"XP_020917334","XM_021061675.1:166..699"
"XP_020917330","XM_021061671.1:231..722"
"XP_020917332","XM_021061673.1:344..835"
"XP_020917333","XM_021061674.1:198..689"
"XP_020917329","XM_021061670.1:403..2277"
"XP_020917331","XM_021061672.1:1..2949"
"XP_020917327","XM_021061668.1:141..686"
"XP_020917326","XM_021061667.1:142..690"
"XP_020917328","XM_021061669.1:142..687"
"XP_020917325","XM_021061666.1:310..1485"
"XP_020917324","XM_021061665.1:261..1355"
"XP_020917323","XM_021061664.1:596..2902"
"XP_020917321","XM_021061662.1:260..4147"
"XP_020917322","XM_021061663.1:260..4075"
"XP_020917319","XM_021061660.1:222..2519"
"XP_020917318","XM_021061659.1:71..610"
"XP_020917320","XM_021061661.1:1618..2904"
"XP_020917317","XM_021061658.1:6..1667"
"XP_020917315","XM_021061656.1:122..3640"
"XP_020917314","XM_021061655.1:122..3721"
"XP_020917316","XM_021061657.1:174..3560"
"XP_020917313","XM_021061654.1:169..2448"
"XP_020917312","XM_021061653.1:42..1118"
"XP_020917311","XM_021061652.1:79..1170"
"XP_020917310","XM_021061651.1:96..2318"
"XP_020917308","XM_021061649.1:78..971"
"XP_020917307","XM_021061648.1:93..767"
"XP_020917306","XM_021061647.1:64..744"
"XP_020917309","XM_021061650.1:1..1347"
"XP_020917304","XM_021061645.1:329..1315"
"XP_020917305","XM_021061646.1:325..1311"
"XP_020917303","XM_021061644.1:126..1136"
"XP_020917302","XM_021061643.1:85..738"
"XP_020917301","XM_021061642.1:139..1929"
"XP_020917300","XM_021061641.1:3..980"
"XP_020917299","XM_021061640.1:135..2840"
"XP_020917297","XM_021061638.1:48..6029"
"XP_020917296","XM_021061637.1:1..2001"
"XP_020917295","XM_021061636.1:230..3457"
"XP_020917298","XM_021061639.1:24..4430"
"XP_020917294","XM_021061635.1:1..984"
"XP_020917293","XM_021061634.1:141..446"
"XP_020917292","XM_021061633.1:1..2265"
"XP_020917291","XM_021061632.1:1..906"
"XP_020917290","XM_021061631.1:1..1482"
"XP_020917289","XM_021061630.1:195..5042"
"XP_020917288","XM_021061629.1:17..8539"
"XP_020917286","XM_021061627.1:1..1569"
"XP_020917285","XM_021061626.1:1..519"
"XP_020917284","XM_021061625.1:1..1074"
"XP_020917287","XM_021061628.1:78..320"
"XP_020917283","XM_021061624.1:1..2775"
"XP_020917282","XM_021061623.1:1..900"
"XP_020917281","XM_021061622.1:1..1095"
"XP_020917280","XM_021061621.1:92..1477"
"XP_020917279","XM_021061620.1:19..3450"
"XP_020917278","XM_021061619.1:127..3426"
"XP_020917277","XM_021061618.1:242..8131"
"XP_020917275","XM_021061616.1:216..2285"
"XP_020917274","XM_021061615.1:111..2933"
"XP_020917273","XM_021061614.1:1..3285"
"XP_020917272","XM_021061613.1:28..1125"
"XP_020917271","XM_021061612.1:58..1140"
"XP_020917270","XM_021061611.1:<1..1317"
"XP_020917269","XM_021061610.1:1..1413"
"XP_020917267","XM_021061608.1:1..336"
"XP_020917266","XM_021061607.1:1238..4858"
"XP_020917265","XM_021061606.1:87..5615"
