"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Halo"
"III","SSB01","DMSO","S_D_III",19,1
"III","SSB01","DMSO","S_D_III",20,1
"III","SSB01","DMSO","S_D_III",21,0
"III","SSB01","DMSO","S_D_III",22,1
"III","SSB01","DMSO","S_D_III",23,1
"III","SSB01","DMSO","S_D_III",24,1
"I","SSB01","XMD-17-109","S_X_I",1,0
"I","SSB01","XMD-17-109","S_X_I",2,0
"I","SSB01","XMD-17-109","S_X_I",3,0
"I","SSB01","XMD-17-109","S_X_I",4,0
"I","SSB01","XMD-17-109","S_X_I",5,0
"I","SSB01","XMD-17-109","S_X_I",6,0
"I","SSB01","XMD-17-109","S_X_I",7,0
"I","SSB01","XMD-17-109","S_X_I",8,0
"II","SSB01","XMD-17-109","S_X_II",1,0
"II","SSB01","XMD-17-109","S_X_II",2,0
"II","SSB01","XMD-17-109","S_X_II",3,0
"II","SSB01","XMD-17-109","S_X_II",4,0
"III","SSB01","XMD-17-109","S_X_III",1,0
"III","SSB01","XMD-17-109","S_X_III",2,1
"III","SSB01","XMD-17-109","S_X_III",3,0
"III","SSB01","XMD-17-109","S_X_III",4,1
"III","SSB01","XMD-17-109","S_X_III",5,0
"III","SSB01","XMD-17-109","S_X_III",6,0
"III","SSB01","XMD-17-109","S_X_III",7,0
